Регион,Средняя зарплата
Пестяки,101033000.0
Бар,2255169.0
Покровское (городской округ Истра),1190170.0
Калинковичи,865345.0
Шахрисабз,674928.0
Хива,674928.0
Шри-Ланка,556689.0
Термез,454634.0
Мальта,425439.0
Шотландия,419207.0
